stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,platform_code,parent_station,level_id
147212,Scări Aurel Vlaicu A / Stairs Aurel Vlaicu A,Șoseaua Pipera; Calea Floreasca,44.47923,26.100168,2,,14721,1
147221,Scări Aviatorilor A / Stairs Aviatorilor A,B-dul Aviatorilor / Parcul Herăstrău,44.465134,26.086226,2,,14722,1
147052,Scări Crângași B / Stairs Crângași B,Piața Crângași,44.451878,26.04774,2,,14705,1
146971,Scări Dristor 2 C / Stairs Dristor 2 C,Bd. Camil Ressu,44.41987,26.139187,2,,14697,1
146972,Scări Dristor 2 D / Stairs Dristor 2 D,Str. Dristorului,44.42118,26.139208,2,,14697,1
147082,Scări Eroilor 1 (M1/3) A / Stairs Eroilor 1 (M1/3) A,Spitalul Universitar,44.43556,26.074701,2,,14708,1
147085,Scări Eroilor 1 (M1/3) B / Stairs Eroilor 1 (M1/3) B,Piața Operei,44.434677,26.076927,2,,14708,1
147086,Scări Eroilor 1 (M1/3) B / Stairs Eroilor 1 (M1/3) B,Piața Operei,44.43449,26.076794,2,,14708,1
147031,Scări Gara de Nord 1 (M1) A / Stairs Gara de Nord 1 (M1) A,Bd. Ghe. Duca,44.447796,26.075884,2,,14703,1
147034,Scări Gara de Nord 1 (M1) D / Stairs Gara de Nord 1 (M1) D,Ministerul Transporturilor,44.446693,26.077778,2,,14703,1
147035,Scări Gara de Nord 1 (M1) E / Stairs Gara de Nord 1 (M1) E,Calea Griviței,44.447144,26.07744,2,,14703,1
147036,Scări Gara de Nord 1 (M1) F / Stairs Gara de Nord 1 (M1) F,Calea Griviței,44.447414,26.076653,2,,14703,1
147361,Scări Gorjului A / Stairs Gorjului A,Bd. Iuliu Maniu,44.433823,26.02178,2,,14736,1
147444,Scări Grivița C / Stairs Grivița C,Calea Griviței,44.46139,26.057386,2,,14744,1
147091,Scări Izvor A / Stairs Izvor A,Splaiul Independenței,44.433006,26.0892,2,,14709,1
147001,Scări Obor A / Stairs Obor A,Șos. Ștefan cel Mare / Calea Moșilor,44.448723,26.125174,2,,14700,1
147002,Scări Obor A / Stairs Obor A,Șos. Ștefan cel Mare / Șos. Colentina,44.44885,26.125416,2,,14700,1
147003,Scări Obor B / Stairs Obor B,Șos. Ștefan cel Mare / Calea Moșilor,44.449898,26.124008,2,,14700,1
